Date,RVaverage,sigma2
2003-11-11,0.000024,0.000056
2003-11-12,0.000028,0.000051
2003-11-13,0.000029,0.000045
2003-11-14,0.000053,0.000051
2003-11-17,0.000056,0.000051
2003-11-18,0.000060,0.000045
2003-11-19,0.000045,0.000049
2003-11-20,0.000081,0.000056
2003-11-21,0.000046,0.000054
2003-11-24,0.000029,0.000047
2003-11-25,0.000035,0.000046
2003-11-26,0.000037,0.000056
2003-12-01,0.000036,0.000063
2003-12-02,0.000029,0.000076
2003-12-03,0.000041,0.000066
2003-12-04,0.000035,0.000078
2003-12-05,0.000041,0.000073
2003-12-08,0.000031,0.000064
2003-12-09,0.000044,0.000059
2003-12-10,0.000041,0.000053
2003-12-11,0.000037,0.000052
2003-12-12,0.000033,0.000045
2003-12-15,0.000046,0.000048
2003-12-16,0.000029,0.000048
2003-12-17,0.000020,0.000043
2003-12-18,0.000023,0.000053
2003-12-19,0.000042,0.000046
2003-12-22,0.000022,0.000058
2003-12-23,0.000022,0.000057
2003-12-29,0.000021,0.000049
2003-12-30,0.000014,0.000046
2003-12-31,0.000029,0.000052
2004-01-02,0.000043,0.000046
2004-01-05,0.000023,0.000043
2004-01-06,0.000021,0.000038
2004-01-07,0.000031,0.000038
2004-01-08,0.000029,0.000035
2004-01-09,0.000049,0.000032
2004-01-12,0.000026,0.000033
2004-01-13,0.000050,0.000032
2004-01-14,0.000023,0.000030
2004-01-15,0.000057,0.000029
2004-01-16,0.000038,0.000028
2004-01-20,0.000032,0.000031
2004-01-21,0.000039,0.000028
2004-01-22,0.000039,0.000027
2004-01-23,0.000041,0.000026
2004-01-26,0.000034,0.000023
2004-01-27,0.000036,0.000034
2004-01-28,0.000102,0.000031
2004-01-29,0.000082,0.000037
2004-01-30,0.000043,0.000032
2004-02-02,0.000088,0.000031
2004-02-03,0.000040,0.000028
2004-02-04,0.000051,0.000028
2004-02-05,0.000040,0.000025
2004-02-06,0.000045,0.000029
2004-02-09,0.000019,0.000030
2004-02-10,0.000030,0.000028
2004-02-11,0.000054,0.000041
2004-02-12,0.000023,0.000063
2004-02-13,0.000050,0.000056
2004-02-17,0.000019,0.000058
2004-02-18,0.000022,0.000053
2004-02-19,0.000052,0.000050
2004-02-20,0.000052,0.000061
2004-02-23,0.000040,0.000057
2004-02-24,0.000049,0.000050
2004-02-25,0.000030,0.000051
2004-02-26,0.000028,0.000046
2004-02-27,0.000043,0.000040
2004-03-01,0.000027,0.000045
2004-03-02,0.000044,0.000051
2004-03-03,0.000034,0.000044
2004-03-04,0.000014,0.000048
2004-03-05,0.000087,0.000052
2004-03-08,0.000031,0.000054
2004-03-09,0.000053,0.000056
2004-03-10,0.000061,0.000056
2004-03-11,0.000121,0.000050
2004-03-12,0.000060,0.000048
2004-03-15,0.000081,0.000046
2004-03-16,0.000082,0.000040
2004-03-17,0.000023,0.000047
2004-03-18,0.000082,0.000044
2004-03-19,0.000047,0.000040
2004-03-22,0.000084,0.000038
2004-03-23,0.000072,0.000049
2004-03-24,0.000095,0.000055
2004-03-25,0.000043,0.000082
2004-03-26,0.000036,0.000111
2004-03-29,0.000036,0.000095
2004-03-30,0.000033,0.000123
2004-03-31,0.000042,0.000109
2004-04-01,0.000030,0.000093
2004-04-02,0.000055,0.000091
2004-04-05,0.000019,0.000110
2004-04-06,0.000019,0.000134
2004-04-07,0.000037,0.000130
2004-04-08,0.000048,0.000128
2004-04-12,0.000016,0.000109
2004-04-13,0.000052,0.000105
2004-04-14,0.000058,0.000090
2004-04-15,0.000068,0.000081
2004-04-16,0.000039,0.000078
2004-04-19,0.000026,0.000070
2004-04-20,0.000059,0.000060
2004-04-21,0.000075,0.000053
2004-04-22,0.000067,0.000053
2004-04-23,0.000037,0.000061
2004-04-26,0.000047,0.000060
